673	rAA	9080
654	rBB	8386
10280	rCC	35902
10304	rDD	57894
692	rAA	9983
800	rBB	8507
12931	rCC	31025
12173	rDD	57865
599	rAA	9216
861	rBB	7688
11400	rCC	33767
11316	rDD	53063
23	rAA	9792
553	rBB	8267
10272	rCC	35125
12590	rDD	52385
684	rAA	8842
964	rBB	8052
11286	rCC	37837
10115	rDD	57442
300	rAA	9714
603	rBB	7856
10425	rCC	32046
10995	rDD	57876
786	rAA	8957
256	rBB	7639
11317	rCC	39374
10834	rDD	53800
199	rAA	9135
973	rBB	8035
10942	rCC	35156
11484	rDD	51434
699	rAA	8851
508	rBB	8251
11097	rCC	35313
10162	rDD	56833
987	rAA	9969
177	rBB	8547
11689	rCC	39297
12674	rDD	50306
237	rAA	9210
236	rBB	8448
11294	rCC	32123
12681	rDD	53654
427	rAA	9888
115	rBB	8514
11083	rCC	34928
12753	rDD	57446
994	rAA	9690
211	rBB	8311
12694	rCC	34102
11529	rDD	50173
661	rAA	9015
589	rBB	8367
11942	rCC	36376
12789	rDD	56016
458	rAA	9004
842	rBB	7709
10110	rCC	33317
10177	rDD	52236
717	rAA	8746
606	rBB	7947
10687	rCC	35164
12074	rDD	56220
592	rAA	9626
441	rBB	8168
12057	rCC	37037
11990	rDD	51098
761	rAA	9643
901	rBB	7835
12697	rCC	38882
11704	rDD	51503
668	rAA	9378
827	rBB	8315
10950	rCC	33016
10504	rDD	50194
921	rAA	9170
942	rBB	7998
10115	rCC	39604
12331	rDD	53277
591	rAA	9640
143	rBB	7699
11133	rCC	33210
10802	rDD	56300
398	rAA	8783
91	rBB	8502
10397	rCC	39510
12761	rDD	55444
8	rAA	9988
870	rBB	8344
10675	rCC	33777
11534	rDD	59293
972	rAA	9477
56	rBB	8011
12615	rCC	32629
10525	rDD	57827
499	rAA	9556
48	rBB	7976
10639	rCC	30210
10604	rDD	54983
884	rAA	9893
555	rBB	7958
12282	rCC	32984
10952	rDD	57819
283	rAA	8932
265	rBB	7727
11455	rCC	39257
11283	rDD	50505
729	rAA	9013
822	rBB	8483
12334	rCC	36595
12382	rDD	56770
602	rAA	9291
511	rBB	8173
11252	rCC	31731
10316	rDD	51545
643	rAA	9432
784	rBB	7780
11500	rCC	35858
10205	rDD	55230
294	rAA	9761
882	rBB	8189
11408	rCC	35184
10839	rDD	56651
40	rAA	8846
599	rBB	7627
11348	rCC	38549
12354	rDD	59212
360	rAA	9482
929	rBB	7847
10401	rCC	35519
12921	rDD	54535
253	rAA	9256
312	rBB	8288
11727	rCC	35798
12135	rDD	50796
416	rAA	8772
883	rBB	8240
11773	rCC	32296
10284	rDD	57472
899	rAA	9515
899	rBB	8298
11996	rCC	36625
10389	rDD	52721
798	rAA	9061
755	rBB	8286
12404	rCC	33241
10418	rDD	58505
873	rAA	9969
401	rBB	8040
12973	rCC	35897
10949	rDD	59270
454	rAA	9531
754	rBB	8009
12706	rCC	32546
11952	rDD	54352
478	rAA	9478
330	rBB	7865
10960	rCC	31932
11062	rDD	54710
107	rAA	8743
876	rBB	8476
10244	rCC	30167
12858	rDD	51376
750	rAA	9579
155	rBB	8483
10277	rCC	33790
11097	rDD	54161
583	rAA	9168
701	rBB	8192
11698	rCC	32720
12287	rDD	55241
229	rAA	8932
632	rBB	7911
12569	rCC	36872
10746	rDD	50947
815	rAA	9580
990	rBB	7603
11403	rCC	35930
11438	rDD	58905
109	rAA	9715
637	rBB	8497
12004	rCC	37540
12340	rDD	56823
503	rAA	9423
491	rBB	7810
12383	rCC	33057
12502	rDD	52775
623	rAA	9359
681	rBB	8553
12347	rCC	38246
12718	rDD	52819
333	rAA	9564
188	rBB	8169
10470	rCC	33947
11995	rDD	50794
609	rAA	9313
359	rBB	7517
11427	rCC	38304
10024	rDD	51831
570	rAA	9778
110	rBB	7881
10955	rCC	36017
11511	rDD	53526
461	rAA	9833
180	rBB	7742
10749	rCC	38314
11279	rDD	52425
54	rAA	9441
906	rBB	7974
12292	rCC	32901
11682	rDD	52433
18	rAA	9914
83	rBB	7967
10802	rCC	35285
11858	rDD	58736
813	rAA	9249
439	rBB	8436
11220	rCC	31207
10257	rDD	59361
934	rAA	8989
459	rBB	7646
11050	rCC	32754
12810	rDD	52364
76	rAA	9432
33	rBB	7691
12914	rCC	32922
10686	rDD	54957
302	rAA	9455
179	rBB	8139
11397	rCC	32552
12126	rDD	58065
313	rAA	9487
385	rBB	8595
12609	rCC	34102
11525	rDD	57461
849	rAA	9773
705	rBB	7689
12445	rCC	37642
12668	rDD	54052
243	rAA	9787
264	rBB	7946
10667	rCC	37422
10872	rDD	51791
133	rAA	8762
803	rBB	8101
11041	rCC	36278
10201	rDD	50339
566	rAA	8939
174	rBB	8260
11931	rCC	38392
12197	rDD	57126
28	rAA	9307
206	rBB	7921
10079	rCC	36746
11651	rDD	54123
561	rAA	9352
273	rBB	7607
11591	rCC	35015
10464	rDD	59216
971	rAA	9650
290	rBB	7570
11598	rCC	38351
11735	rDD	58954
451	rAA	9934
3	rBB	7993
11872	rCC	39857
10028	rDD	57665
696	rAA	8785
798	rBB	8138
10664	rCC	31112
10740	rDD	55037
206	rAA	9931
565	rBB	8519
11288	rCC	30220
12716	rDD	56812
215	rAA	9127
620	rBB	8244
10171	rCC	36130
12202	rDD	55868
434	rAA	9580
772	rBB	7729
10999	rCC	31645
10174	rDD	54270
893	rAA	9754
474	rBB	7530
11990	rCC	35212
10844	rDD	55532
403	rAA	9826
832	rBB	7736
12870	rCC	36310
10374	rDD	53533
624	rAA	9088
223	rBB	7646
10257	rCC	30462
11045	rDD	56833
137	rAA	8889
785	rBB	7858
12856	rCC	37397
11586	rDD	55458
125	rAA	9008
718	rBB	8445
12450	rCC	33677
12741	rDD	52069
246	rAA	9305
435	rBB	7782
11850	rCC	30264
10980	rDD	59681
358	rAA	8957
535	rBB	7809
12807	rCC	38876
11859	rDD	54433
705	rAA	8939
742	rBB	7972
10436	rCC	34340
11319	rDD	53274
91	rAA	9559
915	rBB	7587
11200	rCC	32198
10071	rDD	59831
681	rAA	8891
677	rBB	7507
12647	rCC	30159
10627	rDD	59306
885	rAA	9819
15	rBB	7610
11020	rCC	31871
10511	rDD	51653
92	rAA	8765
219	rBB	7563
11924	rCC	37242
10675	rDD	56316
738	rAA	9895
659	rBB	8379
10501	rCC	36184
11743	rDD	58135
912	rAA	9862
524	rBB	7641
11181	rCC	37075
10841	rDD	53159
183	rAA	9014
821	rBB	7919
12106	rCC	34674
12742	rDD	59414
45	rAA	8952
409	rBB	8024
11653	rCC	35687
11640	rDD	53979
630	rAA	9559
723	rBB	8087
11461	rCC	34662
12996	rDD	52863
122	rAA	9965
696	rBB	7784
10734	rCC	37424
10524	rDD	55620
900	rAA	9537
35	rBB	8041
12235	rCC	33773
10529	rDD	59338
572	rAA	9007
675	rBB	8003
10342	rCC	30873
11527	rDD	54000
367	rAA	9520
680	rBB	8254
