0	rA	1657
1	rA	2657
2	rA	2595
3	rA	1504
4	rA	2970
5	rA	2273
6	rA	2696
7	rA	1694
8	rA	2274
9	rA	2163
10	rA	2632
11	rA	2912
12	rA	1967
13	rA	1962
14	rA	1921
15	rA	2212
16	rA	1878
17	rA	2691
18	rA	2779
19	rA	1631
20	rA	2424
21	rA	2886
22	rA	2771
23	rA	1540
24	rA	2365
25	rA	1618
26	rA	2836
27	rA	2615
28	rA	2944
29	rA	2799
30	rA	2344
31	rA	2447
32	rA	2973
33	rA	1978
34	rA	2746
35	rA	1718
36	rA	2196
37	rA	1636
38	rA	2350
39	rA	1838
40	rA	1552
41	rA	2750
42	rA	2029
43	rA	1939
44	rA	2083
45	rA	2168
46	rA	1532
47	rA	2953
48	rA	2972
49	rA	2436
50	rA	1706
51	rA	2912
52	rA	2539
53	rA	2508
54	rA	2973
55	rA	2998
56	rA	2309
57	rA	1874
58	rA	2301
59	rA	2248
60	rA	1916
61	rA	2188
62	rA	1678
63	rA	2565
64	rA	2951
65	rA	2422
66	rA	2733
67	rA	1700
68	rA	1851
69	rA	1527
70	rA	2430
71	rA	1785
72	rA	1845
73	rA	2344
74	rA	1944
75	rA	2163
76	rA	2771
77	rA	2543
78	rA	2948
79	rA	2783
80	rA	1924
81	rA	2455
82	rA	2273
83	rA	1816
84	rA	2535
85	rA	2597
86	rA	1533
87	rA	2180
88	rA	2374
89	rA	2578
90	rA	2795
91	rA	2668
92	rA	2990
93	rA	1745
94	rA	2219
95	rA	2297
96	rA	1866
97	rA	2538
98	rA	1641
99	rA	2310
100	rA	1974
101	rA	2187
102	rA	2038
103	rA	2973
104	rA	2428
105	rA	2242
106	rA	2184
107	rA	1628
108	rA	2407
109	rA	2069
110	rA	1824
111	rA	2717
112	rA	2645
113	rA	2302
114	rA	2875
115	rA	1613
116	rA	2996
117	rA	2446
118	rA	1928
119	rA	1807
120	rA	2866
121	rA	1611
122	rA	2326
123	rA	2545
124	rA	2823
125	rA	2141
126	rA	2127
127	rA	2165
128	rA	2975
129	rA	1844
130	rA	1514
131	rA	1735
132	rA	2673
133	rA	2660
134	rA	2232
135	rA	1971
136	rA	2626
137	rA	1562
138	rA	2677
139	rA	1907
140	rA	2709
141	rA	2273
142	rA	2073
143	rA	2224
144	rA	2882
145	rA	1934
146	rA	1682
147	rA	2085
148	rA	2362
149	rA	1580
150	rA	2369
151	rA	2323
152	rA	2369
153	rA	2073
154	rA	2303
155	rA	2324
156	rA	2654
157	rA	2555
158	rA	2566
159	rA	2734
160	rA	2854
161	rA	2619
162	rA	1696
163	rA	2295
164	rA	2652
165	rA	2954
166	rA	1759
167	rA	2279
168	rA	1636
169	rA	1943
170	rA	2895
171	rA	2858
172	rA	2174
173	rA	2086
174	rA	2599
175	rA	2978
176	rA	2752
177	rA	2044
178	rA	2412
179	rA	1793
180	rA	1619
181	rA	2406
182	rA	2619
183	rA	1758
